1,2,4.87
1,38,6.89
1,102,3.34
1,106,3.31
2,3,2.02
2,40,2.63
2,109,4.26
3,39,5.45
3,40,3.51
4,9,4.40
5,6,3.30
5,9,5.10
5,10,7.04
5,11,4.29
6,51,4.97
6,213,2.96
7,30,4.52
7,147,3.94
7,213,3.53
8,112,3.77
8,113,2.14
8,116,5.44
9,11,5.79
9,114,6.88
10,11,3.76
12,13,2.94
13,47,3.71
13,50,5.66
13,175,9.27
15,21,5.32
15,50,4.06
15,153,2.16
15,172,9.28
16,23,7.79
16,192,8.47
17,18,6.27
17,19,5.05
17,20,3.16
17,23,3.53
17,155,5.26
17,156,5.94
17,160,3.97
18,19,4.18
18,26,4.18
19,20,3.42
19,21,3.27
20,21,3.28
20,155,5.71
21,159,5.32
22,23,11.11
22,24,3.49
22,25,3.89
23,155,5.37
23,156,5.11
24,27,3.88
24,29,4.88
24,190,4.77
25,82,5.42
26,154,6.38
27,28,4.33
27,83,6.14
27,213,6.57
28,29,4.02
28,148,2.55
28,150,2.10
28,152,5.54
29,53,3.60
30,30,0.00
30,146,3.53
30,148,2.67
30,149,3.25
30,213,3.41
31,57,4.22
31,116,4.99
31,145,4.32
31,147,4.09
32,33,4.06
32,55,2.48
32,56,1.88
32,59,4.20
33,34,3.72
33,123,6.36
34,35,6.62
34,118,3.77
35,36,5.90
35,87,3.26
35,112,2.86
36,87,5.84
37,84,15.11
37,89,4.37
37,90,2.47
38,39,5.66
39,88,3.58
40,41,4.99
40,42,2.22
42,43,5.16
42,44,3.29
42,108,2.59
44,45,3.84
44,108,2.00
44,188,2.94
45,46,3.19
45,185,1.74
45,188,1.31
46,47,5.21
46,48,7.38
46,189,3.06
47,189,2.32
48,175,1.54
48,176,5.23
48,177,4.90
48,180,1.68
49,178,5.41
49,179,3.61
49,180,3.70
49,182,2.76
50,52,4.10
50,174,6.98
51,80,2.18
51,82,1.33
51,83,3.17
52,80,5.28
52,153,4.62
53,78,4.46
53,142,2.76
53,151,2.55
54,55,2.37
54,61,3.85
54,62,2.25
55,61,3.52
56,57,2.06
57,144,3.29
58,70,5.02
58,144,2.12
59,60,1.86
59,69,5.01
60,68,4.60
61,67,4.74
62,63,3.13
62,122,4.24
62,133,8.75
63,64,3.92
64,65,1.74
64,131,7.05
65,66,2.57
65,135,4.22
66,67,2.05
67,68,2.23
67,136,2.35
68,69,2.06
69,70,1.98
69,138,2.51
70,71,1.95
70,140,2.20
71,140,2.30
71,141,2.14
71,144,5.91
71,152,3.32
72,73,2.30
72,140,1.95
72,142,3.55
73,73,0.00
73,74,2.31
73,76,4.74
73,139,2.51
73,140,3.36
74,74,0.00
74,75,2.05
74,136,3.07
74,138,2.30
74,139,3.12
75,75,0.00
75,135,3.98
75,136,2.56
75,137,2.95
75,138,3.57
75,143,1.64
75,212,2.64
76,77,2.91
76,191,13.72
79,190,3.85
79,191,4.60
80,81,1.99
80,82,2.44
81,82,2.46
81,154,6.27
82,82,0.00
82,83,3.19
83,213,3.28
84,86,3.83
84,92,5.00
85,86,4.48
85,87,4.90
86,124,13.21
88,89,2.66
88,90,5.38
88,111,3.56
90,99,8.10
91,110,2.83
91,111,1.83
92,93,6.06
92,96,1.62
93,94,4.03
94,95,2.61
96,97,6.16
96,98,3.98
97,100,21.85
98,99,5.09
100,101,4.38
100,102,4.70
102,103,2.69
102,104,2.74
103,104,0.99
104,105,1.56
105,106,2.75
106,107,4.43
106,109,3.85
107,108,4.43
107,187,2.41
108,109,2.73
112,113,2.84
112,115,3.10
113,114,2.43
115,116,3.12
116,116,0.00
118,119,3.40
119,120,4.54
120,121,3.13
120,124,2.18
121,122,3.12
121,123,2.85
122,123,2.36
124,125,5.46
125,126,6.11
126,127,3.99
126,132,3.16
126,133,2.88
127,128,4.55
127,130,4.49
128,130,1.34
128,131,4.48
129,130,2.19
129,131,2.33
129,133,1.70
132,133,3.43
134,135,7.49
135,135,0.00
135,137,3.14
135,212,2.97
136,137,1.62
136,138,2.54
138,139,1.58
139,139,0.00
139,140,2.48
140,141,1.87
141,142,2.67
141,152,2.24
142,152,2.72
143,143,0.00
143,212,2.17
145,146,2.27
145,152,6.46
146,149,2.69
146,213,6.64
147,213,6.51
149,150,2.56
150,151,2.04
151,152,2.73
153,154,1.15
155,156,1.47
155,157,3.31
155,158,3.96
157,159,5.70
158,158,0.00
158,159,3.53
159,162,5.61
161,162,3.07
163,164,4.56
163,167,3.92
163,171,4.91
163,172,5.00
164,165,3.10
166,167,6.32
166,177,5.32
166,178,8.58
167,168,4.43
167,169,2.76
168,169,1.95
168,170,2.00
169,176,4.11
170,171,1.94
170,173,3.11
170,176,4.57
171,172,2.64
171,174,2.93
173,174,2.17
173,175,3.03
175,176,4.77
175,177,4.97
176,177,1.75
178,179,2.66
178,181,6.35
181,182,4.45
181,183,3.86
182,183,4.54
182,184,2.57
183,184,4.00
183,186,3.36
184,185,2.04
186,187,1.84
188,189,3.37
190,191,5.41
192,193,2.97
193,194,2.94
194,195,3.51
194,197,5.79
195,196,4.63
195,199,3.08
196,197,2.44
196,198,3.00
198,199,4.11
199,200,2.23
200,201,2.26
200,202,6.34
201,202,6.65
201,203,8.33
202,203,3.27
202,204,10.00
203,204,7.40
204,205,4.76
204,206,3.44
205,206,1.86
205,207,2.82
205,208,2.89
206,208,2.60
207,210,3.42
207,211,7.16
208,209,2.27
209,210,2.26
209,212,3.68
210,211,5.99
